peak_name,peak_link,elevation_ft,elevation_m,prominence_ft,prominence_m,isolation_mi,isolation_km,date_climbed,trip_report_link,location,list,ULTRA,P3K,P2K,P1K,STHP,STPP,STIP,STEP,LCL,NE67,ADK46,SE40,NYFT,EAP2K,VT35,CT35,BEL12,OSS10,NHFT,NEK20,LG12,SARN6,FUL3,TUP3
Oregon Butte,https://www.peakbagger.com/peak.aspx?pid=3104,6393,1949,2413,735,46.5,74.8,2024-09-18,../../../trip_reports/long_covid_reports/2024_09_13-18_hells_canyon.html#oregon,WA,LCL,,,y,y,,,,,y,,,,,,,,,,,,,,,
West Butte,https://www.peakbagger.com/peak.aspx?pid=28972,6292,1918,332,101,0.6,0.9,2024-09-18,../../../trip_reports/long_covid_reports/2024_09_13-18_hells_canyon.html#oregon,WA,LCL,,,,,,,,,y,,,,,,,,,,,,,,,
Cottonwood Butte,https://www.peakbagger.com/peak.aspx?pid=3197,5730,1747,2450,747,21.4,34.4,2024-09-15,../../../trip_reports/long_covid_reports/2024_09_13-18_hells_canyon.html#cottonwood,ID,LCL,,,y,y,,,,,y,,,,,,,,,,,,,,,
Cuddy,https://www.peakbagger.com/peak.aspx?pid=3201,7867,2398,3187,971,25,40.2,2024-09-14,../../../trip_reports/long_covid_reports/2024_09_13-18_hells_canyon.html#cuddy,ID,LCL,,y,y,y,,,,,y,,,,,,,,,,,,,,,
Sturgill,https://www.peakbagger.com/peak.aspx?pid=3202,7589,2313,3429,1045,12,19.3,2024-09-13,../../../trip_reports/long_covid_reports/2024_09_13-18_hells_canyon.html#sturgill,ID,LCL,,y,y,y,,,,,y,,,,,,,,,,,,,,,
Vinegar Hill,https://www.peakbagger.com/peak.aspx?pid=3118,8120,2475,2840,866,14.4,23.1,2024-09-10,../../../trip_reports/long_covid_reports/2024_09_04-10_eastern_oregon.html#vinegar_hill,OR,OR78,,,y,y,,,,,y,,,,,,,,,,,,,,,
Strawberry,https://www.peakbagger.com/peak.aspx?pid=3226,9040,2755,4080,1244,46.1,74.2,2024-09-07,../../../trip_reports/long_covid_reports/2024_09_04-10_eastern_oregon.html#strawberry,OR,OR78,,y,y,y,,,,,y,,,,,,,,,,,,,,,
Peak 7592,https://www.peakbagger.com/peak.aspx?pid=3121,7592,2314,2312,705,8.7,14,2024-09-06,../../../trip_reports/long_covid_reports/2024_09_04-10_eastern_oregon.html#peak_7592,OR,OR78,,,y,y,,,,,y,,,,,,,,,,,,,,,
Big Lookout,https://www.peakbagger.com/peak.aspx?pid=3120,7080,2158,3080,939,15.4,24.8,2024-09-04,../../../trip_reports/long_covid_reports/2024_09_04-10_eastern_oregon.html#big_lookout,OR,OR78,,y,y,y,,,,,y,,,,,,,,,,,,,,,
Delano,https://www.peakbagger.com/peak.aspx?pid=3824,12177,3712,4729,1441,112.2,180.5,2024-09-01,../../../trip_reports/long_covid_reports/2024_08_29-32_southwest.html#delano,UT,LCL,,y,y,y,,,,,y,,,,,,,,,,,,,,,
Brian Head,https://www.peakbagger.com/peak.aspx?pid=3826,11312,3448,3788,1155,42.6,68.5,2024-08-31,../../../trip_reports/long_covid_reports/2024_08_29-32_southwest.html#brians_head,UT,LCL,,y,y,y,,,,,y,,,,,,,,,,,,,,,
Kaibab Plateau,https://www.peakbagger.com/peak.aspx?pid=3904,9209,2807,3589,1094,69.1,111.2,2024-08-30,../../../trip_reports/long_covid_reports/2024_08_29-32_southwest.html#kaibab,AZ,LCL,,y,y,y,,,,,y,,,,,,,,,,,,,,,
Sandia Crest,https://www.peakbagger.com/peak.aspx?pid=4260,10678,3255,4098,1249,45.3,72.9,2024-08-29,../../../trip_reports/long_covid_reports/2024_08_29-32_southwest.html#sandia_crest,NM,LCL,,y,y,y,,,,,y,,,,,,,,,,,,,,,
Sunflower,https://peakbagger.com/peak.aspx?pid=6307,4039,1231,19,6,0.9,1.4,2024-08-19,../../../trip_reports/long_covid_reports/2024_08_15-19_midwestern_highpoints.html#sunflower,KS,LCL,,,,,y,,,y,y,,,,,,,,,,,,,,,
Butler Hill,https://peakbagger.com/peak.aspx?pid=6313,1680,512,240,73,85.5,137.6,2024-08-18,../../../trip_reports/long_covid_reports/2024_08_15-19_midwestern_highpoints.html#butler,KS,LCL,,,,,,,y,y,y,,,,,,,,,,,,,,,
Taum Sauk,https://peakbagger.com/peak.aspx?pid=6575,1772,540,512,156,148.1,238.4,2024-08-17,../../../trip_reports/long_covid_reports/2024_08_15-19_midwestern_highpoints.html#taum_sauk,MO,LCL,,,,,y,,,y,y,,,,,,,,,,,,,,,
Williams Hill,https://peakbagger.com/peak.aspx?pid=6514,1064,324,624,190,91.5,147.3,2024-08-16,../../../trip_reports/long_covid_reports/2024_08_15-19_midwestern_highpoints.html#williams,IL,LCL,,,,,,y,y,y,y,,,,,,,,,,,,,,,
Washington Hill,https://peakbagger.com/peak.aspx?pid=6545,1050,320,420,128,38.3,61.6,2024-08-16,../../../trip_reports/long_covid_reports/2024_08_15-19_midwestern_highpoints.html#washington,IN,LCL,,,,,,y,,y,y,,,,,,,,,,,,,,,
Pilot Rock,https://peakbagger.com/peak.aspx?pid=7418,966,294,306,93,48.1,77.4,2024-08-16,../../../trip_reports/long_covid_reports/2024_08_15-19_midwestern_highpoints.html#pilot_rock,KY,LCL,,,,,,,y,y,y,,,,,,,,,,,,,,,
Campbell Hill,https://peakbagger.com/peak.aspx?pid=6532,1549,472,639,195,169.3,272.5,2024-08-15,../../../trip_reports/long_covid_reports/2024_08_15-19_midwestern_highpoints.html#campbell,OH,LCL,,,,,y,y,y,y,y,,,,,,,,,,,,,,,
