peak_name,peak_link,elevation,prominence_clean,isolation,date_climbed,trip_report_link,location,list
Rocky Peak Ridge,https://www.peakbagger.com/peak.aspx?pid=6109,4390,617,1.3,2022-08-25,,NY,NE115
Hale,https://www.peakbagger.com/peak.aspx?pid=6918,4054,614,3.4,2022-07-03,,NH,NE115
Spaulding,https://www.peakbagger.com/peak.aspx?pid=6842,4000,585,3.2,2022-09-04,,ME,NE115
Skylight,https://www.peakbagger.com/peak.aspx?pid=6054,4925,577,1.3,2022-07-16,,NY,NE115
Macomb,https://www.peakbagger.com/peak.aspx?pid=6093,4370,564,2,2022-08-26,,NY,NE115
Whiteface,https://www.peakbagger.com/peak.aspx?pid=7002,4000,560,3,2022-06-25,,NH,NE115
Blake,https://www.peakbagger.com/peak.aspx?pid=6082,3970,558,1.4,2022-06-08,,NY,NE115
Hamlin,https://www.peakbagger.com/peak.aspx?pid=6815,4756,496,1.9,2022-09-07,,ME,NE115
Marshall,https://www.peakbagger.com/peak.aspx?pid=6027,4364,492,1.2,2022-06-17,,NY,NE115
Cliff,https://www.peakbagger.com/peak.aspx?pid=6052,3944,466,0.7,2022-07-16,,NY,NE115
Madison,https://www.peakbagger.com/peak.aspx?pid=6951,5366,466,0.6,2022-07-10,,NH,NE115
The Horn,https://www.peakbagger.com/peak.aspx?pid=6052,4041,461,1.8,2022-09-09,,ME,NE115
Sawteeth,https://www.peakbagger.com/peak.aspx?pid=6073,4134,459,1,2022-06-07,,NY,NE115
Redington,https://www.peakbagger.com/peak.aspx?pid=6840,4000,440,1.5,2022-09-05,,ME,NE115
Table Top,https://www.peakbagger.com/peak.aspx?pid=6043,4413,410,1.9,2022-06-10,,NY,NE115
Flume,https://www.peakbagger.com/peak.aspx?pid=6915,4328,408,1.4,2022-05-29,,NH,NE115
Liberty,https://www.peakbagger.com/peak.aspx?pid=6914,4459,379,2.4,2022-05-29,,NH,NE115
Hough,https://www.peakbagger.com/peak.aspx?pid=6089,4409,374,1.1,2022-08-26,,NY,NE115
Saddleback,https://www.peakbagger.com/peak.aspx?pid=6071,4528,361,0.7,2022-06-20,,NY,NE115
South Crocker,https://www.peakbagger.com/peak.aspx?pid=6838,4040,340,1,2022-09-05,,ME,NE115
Eisenhower,https://www.peakbagger.com/peak.aspx?pid=6965,4760,335,1.2,2022-07-10,,NH,NE115
Jackson,https://www.peakbagger.com/peak.aspx?pid=6967,4052,332,2,2022-08-17,,NH,NE115
Tom,https://www.peakbagger.com/peak.aspx?pid=6927,4051,331,1.4,2022-08-20,,NH,NE115
Grace,https://www.peakbagger.com/peak.aspx?pid=6090,4026,318,1.5,2022-08-26,,NY,NE115
East Osceola,https://www.peakbagger.com/peak.aspx?pid=6991,4156,316,1.1,2022-06-02,,NH,NE115
Esther,https://www.peakbagger.com/peak.aspx?pid=5985,4239,302,1.9,2022-06-19,,NY,NE115
Bond,https://www.peakbagger.com/peak.aspx?pid=6924,4698,298,3.7,2022-07-03,,NH,NE115
Porter,https://www.peakbagger.com/peak.aspx?pid=6030,4068,295,0.8,2022-06-06,,NY,NE115
Wildcat D,https://www.peakbagger.com/peak.aspx?pid=6985,4062,287,1.1,2022-09-01,,NH,NE115
Abraham,https://www.peakbagger.com/peak.aspx?pid=7023,4006,286,3.8,2022-08-23,,VT,NE115
North Twin,https://www.peakbagger.com/peak.aspx?pid=6919,4761,281,1.4,2022-07-03,,NH,NE115
Panther,https://www.peakbagger.com/peak.aspx?pid=6005,4442,276,1.5,2022-07-31,,NY,NE115
Avery,https://www.peakbagger.com/peak.aspx?pid=6851,4088,268,1,2022-09-08,,ME,NE115
Upper Wolfjaw,https://www.peakbagger.com/peak.aspx?pid=6067,4203,266,0.7,2022-06-07,,NY,NE115
