peak_name,peak_link,elevation,prominence_clean,isolation,date_climbed,trip_report_link,location,list
Lookout,https://www.peakbagger.com/peak.aspx?pid=7504,2392,1532,62.8,2023-04-28,,GA,main
Yellow,https://www.peakbagger.com/peak.aspx?pid=18515,5127,1527,24.5,2023-04-01,,NC,main
Logmont,https://www.peakbagger.com/peak.aspx?pid=97340,3148,1517,28.8,2023-04-29,,KY,main
Cacapon,https://www.peakbagger.com/peak.aspx?pid=39357,2615,1515,32.7,2023-07-04,,VA/WV,main
Spring,https://www.peakbagger.com/peak.aspx?pid=27818,3720,1486,7.2,2023-05-23,,NC/TN,main
Tray,https://www.peakbagger.com/peak.aspx?pid=7733,4430,1481,13.2,2023-04-26,,GA,main
High Windy,https://www.peakbagger.com/peak.aspx?pid=30962,4360,1480,7.6,2023-05-07,,NC,main
Flatwoods,https://www.peakbagger.com/peak.aspx?pid=97323,2860,1480,7.4,2023-05-01,,KY,main
Blood,https://www.peakbagger.com/peak.aspx?pid=7737,4440,1480,17.9,2023-04-25,,GA,main
Flattop,https://www.peakbagger.com/peak.aspx?pid=27815,4716,1476,5.9,2023-05-16,,NC,main
Flat Top,https://www.peakbagger.com/peak.aspx?pid=7688,3994,1474,9.2,2023-06-23,,VA,main
Richwood Knob,https://www.peakbagger.com/peak.aspx?pid=33197,3211,1471,11.7,2023-05-06,,VA,main
Snyder Shade,https://www.peakbagger.com/peak.aspx?pid=7576,2188,1449,15.7,2023-07-05,,PA,main
Poor,https://www.peakbagger.com/peak.aspx?pid=7694,3928,1448,37.2,2023-06-22,,VA,main
Tuscarora,https://www.peakbagger.com/peak.aspx?pid=7578,2459,1446,40.3,2023-07-05,,PA,main
Cheaha,https://www.peakbagger.com/peak.aspx?pid=7542,2405,1445,171.8,2023-04-26,,AL,main
Beech,https://www.peakbagger.com/peak.aspx?pid=7805,5480,1440,9.9,2023-03-26,,NC,main
Moores Knob,https://www.peakbagger.com/peak.aspx?pid=7859,2579,1439,29.3,2023-05-06,,NC,main
Big A,https://www.peakbagger.com/peak.aspx?pid=7452,3706,1426,17.5,2023-05-02,,VA,main
Ravencliff Knob,https://www.peakbagger.com/peak.aspx?pid=62092,3661,1421,9.9,2023-04-25,,GA,main
Chestnut,https://www.peakbagger.com/peak.aspx?pid=34444,2560,1420,4.5,2023-06-01,,TN,main
Unaka,https://www.peakbagger.com/peak.aspx?pid=18629,5180,1420,13.1,2023-05-11,,NC/TN,main
Three Ridges,https://www.peakbagger.com/peak.aspx?pid=29898,3970,1410,8,2023-06-27,,VA,main
Martin Hill,https://www.peakbagger.com/peak.aspx?pid=12387,2775,1395,26.9,2023-07-04,,PA,main
North,https://www.peakbagger.com/peak.aspx?pid=7220,2585,1385,93.3,2023-07-06,,PA,main
Pisgah,https://www.peakbagger.com/peak.aspx?pid=7835,5721,1361,9,2023-04-15,,NC,main
